season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,0,1,0,6,0,2,-0.826096507100084,-0.679480780282526,1.249315927336729,-0.3876262839697891,985
1,0,1,0,0,0,2,-0.7206013149939535,-0.7401455355199024,0.4787851597755503,0.7490888183309068,801
1,0,1,0,1,1,1,-1.6335381661991657,-1.7485697604014525,-1.338357606936484,0.7461209948542499,1349
1,0,1,0,2,1,1,-1.6136748489966444,-1.6091684611168604,-0.2630014807796738,-0.3895618210197831,1562
1,0,1,0,3,1,1,-1.4664098759965432,-1.503940945153829,-1.3405762547464208,-0.04627496983288128,1600
1,0,1,0,4,1,1,-1.5899219053232223,-1.479769544093741,-0.7697378321543076,-1.302242380857796,1606
1,0,1,0,5,1,2,-1.6326750187519714,-1.6293143635490177,-0.9071044283613167,-0.2807846388101312,1510
1,0,1,0,6,0,2,-1.8048783974257554,-1.9151799940095857,-0.6463641634321213,0.984772713118486,959
1,0,1,0,0,0,1,-1.9505591124531583,-2.1979405904675127,-1.3601649490176986,2.212496767509891,822
1,0,1,0,1,1,1,-1.8822721308713328,-1.9849266668831462,-1.0178893770733233,0.42298953614795065,1321
1,0,1,0,2,1,2,-1.7825294340936553,-1.7359348493116529,0.41051961339575255,-0.8820140608595407,1263
1,0,1,0,3,1,1,-1.762666116891134,-1.9261089773271833,-0.19903983030965847,1.472824832064591,1162
1,0,1,0,4,1,1,-1.8048783974257554,-1.9849573490373227,-1.1056523442385475,1.426023546195741,1406
1,0,1,0,5,1,1,-1.8274404161403903,-1.7546570997900302,-0.6323712359472977,-0.8250318501077231,1421
1,0,1,0,6,0,2,-1.431578052431286,-1.3883183153558676,-0.9067252923431629,-0.4196658739373531,1248
1,0,1,0,0,0,1,-1.4406793413365115,-1.4735840218117995,-1.0120408529414324,-0.02649378118194485,1204
1,0,1,1,1,0,2,-1.7456981677076824,-1.8260974275741222,-0.6346600941309671,0.04555981139915801,1000
1,0,1,0,2,1,2,-1.5226237192347019,-1.4851450575054288,1.6413285280329803,-0.5640311307062249,683
1,0,1,0,3,1,2,-1.1101321097707915,-1.0795944800339574,0.799309557937697,0.23008101016523436,1650
1,0,1,0,4,1,2,-1.276790585540131,-1.3457437582208365,-0.6288115699990767,0.06990886748808009,1927
1,0,1,0,5,1,1,-1.73659141584393,-1.9423091547322684,-1.199270856573036,2.100132389967584,1543
1,0,1,0,6,0,1,-2.3832396314477724,-2.425635311182154,-1.6000527329484369,-0.2389254242089315,981
1,0,1,0,0,0,1,-2.1789725102941317,-2.3043211417844893,-1.3436304060037703,0.7240687760646539,986
1,0,1,0,1,1,1,-2.174221921559447,-2.187171154351632,-0.955949785366794,-0.4149302599550352,1416
1,0,1,0,2,1,2,-1.4854155087103968,-1.4716878646837044,-0.0767895275671874,-0.7831210211851904,1985
1,0,1,0,3,1,3,-1.5180730747820892,-1.6614631246949425,1.6471770521648714,1.3337629468127028,506
1,0,1,0,4,1,1,-1.6409896416293746,-1.562666588247263,0.41849551185172756,-0.9890492597241982,431
1,0,1,0,5,1,2,-1.5946746792413173,-1.5404711179161292,1.1595168593332714,-0.8669426790302555,1167
1,0,1,0,6,0,1,-1.6326750187519714,-1.609143915393519,0.16741619434808044,-0.5822251789761662,1098
1,0,1,0,0,0,1,-1.5234158482210511,-1.3747568032099438,0.6619429617306871,-1.5033137117593527,1096
1,0,1,0,1,1,2,-1.7183833750749522,-1.7679301996866965,-0.16951636815527682,-0.042507124375560174,1501
1,0,2,0,2,1,2,-1.6564279624253935,-1.4716633189603632,1.4159391862779376,-1.771315913849695,1360
1,0,2,0,3,1,2,-1.2858973374038831,-1.3496281189395558,1.0357640545929314,0.9525653766065891,1526
1,0,2,0,4,1,1,-1.6849282170583844,-1.8193043986394901,-1.334474973269094,1.1260411106073676,1550
1,0,2,0,5,1,2,-1.5519215658125682,-1.5081321274143111,-0.2996372537931255,-0.8083733278974429,1708
1,0,2,0,6,0,2,-1.431578052431286,-1.4193318367972696,2.115248550725193,-0.3794583176188153,1005
1,0,2,0,0,0,1,-1.1447727297876196,-1.1210215246027948,-0.4181804488025377,-0.6282264428643526,1623
1,0,2,0,1,1,1,-1.2221610002746706,-1.0474641281805381,0.7753959046445164,-1.8720244872769394,1712
