year,sex,age,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),generation,continent
1987,male,15-24 years,-0.3916104269697126,6.71,-0.30505042508957464,-0.8508484102097095,Generation X,EU
1987,male,35-54 years,-0.39286305382993253,5.19,-0.30505042508957464,-0.8508484102097095,Silent,EU
1987,female,15-24 years,-0.3975412316956517,4.83,-0.30505042508957464,-0.8508484102097095,Generation X,EU
1987,male,75+ years,-0.46602668799216374,4.59,-0.30505042508957464,-0.8508484102097095,G.I. Generation,EU
1987,male,25-34 years,-0.4014780589706285,3.28,-0.30505042508957464,-0.8508484102097095,Boomers,EU
1987,female,75+ years,-0.46249888173276893,2.81,-0.30505042508957464,-0.8508484102097095,G.I. Generation,EU
1987,female,35-54 years,-0.40032768736430413,2.15,-0.30505042508957464,-0.8508484102097095,Silent,EU
1987,female,25-34 years,-0.4058494710746612,1.56,-0.30505042508957464,-0.8508484102097095,Boomers,EU
1987,male,55-74 years,-0.43644935580288996,0.73,-0.30505042508957464,-0.8508484102097095,G.I. Generation,EU
1987,female,5-14 years,-0.39209613942571625,0.0,-0.30505042508957464,-0.8508484102097095,Generation X,EU
1987,female,55-74 years,-0.43463432504624483,0.0,-0.30505042508957464,-0.8508484102097095,G.I. Generation,EU
1987,male,5-14 years,-0.38514278216082215,0.0,-0.30505042508957464,-0.8508484102097095,Generation X,EU
1988,female,75+ years,-0.4622943712249779,5.49,-0.3050714932579941,-0.8522779212981083,G.I. Generation,EU
1988,male,15-24 years,-0.3899999067208585,5.33,-0.3050714932579941,-0.8522779212981083,Generation X,EU
1988,male,75+ years,-0.4658988689247944,4.48,-0.3050714932579941,-0.8522779212981083,G.I. Generation,EU
1988,male,35-54 years,-0.3913036612080261,4.46,-0.3050714932579941,-0.8522779212981083,Silent,EU
1988,male,55-74 years,-0.43575913283909534,2.85,-0.3050714932579941,-0.8522779212981083,G.I. Generation,EU
1988,female,15-24 years,-0.39603296670069305,2.71,-0.3050714932579941,-0.8522779212981083,Generation X,EU
1988,female,55-74 years,-0.43389297445550246,2.03,-0.3050714932579941,-0.8522779212981083,G.I. Generation,EU
1988,female,25-34 years,-0.40452015277401965,1.91,-0.3050714932579941,-0.8522779212981083,Boomers,EU
1988,male,25-34 years,-0.4000464854160915,1.79,-0.3050714932579941,-0.8522779212981083,Boomers,EU
